AlbumID,AlbumTitle,Store,Format,Price,SaleDate,Quantity
A001,Echoes of Tomorrow,Store A,CD,12.99,2025-01-15,34
A001,Echoes of Tomorrow,Store A,Vinyl,19.99,2025-02-03,12
A001,Echoes of Tomorrow,Store B,Stream,9.99,2025-01-20,102
A001,Echoes of Tomorrow,Store C,CD,12.99,2025-01-28,22
A001,Echoes of Tomorrow,Store D,Vinyl,19.99,2025-03-10,8
A002,Midnight Horizons,Store A,Stream,9.49,2025-02-11,87
A002,Midnight Horizons,Store B,CD,11.49,2025-02-18,29
A002,Midnight Horizons,Store C,Vinyl,18.49,2025-03-05,15
A002,Midnight Horizons,Store D,Stream,9.49,2025-02-25,93
A003,Lunar Reflections,Store A,CD,13.99,2025-01-05,41
A003,Lunar Reflections,Store B,Vinyl,20.49,2025-02-02,11
A003,Lunar Reflections,Store C,Stream,10.99,2025-01-15,110
A003,Lunar Reflections,Store D,CD,13.99,2025-01-22,27
A003,Lunar Reflections,Store A,Vinyl,20.49,2025-03-01,9
A004,Solar Echo,Store A,Stream,8.99,2025-02-14,120
A004,Solar Echo,Store B,CD,14.99,2025-02-20,33
A004,Solar Echo,Store C,Vinyl,21.99,2025-03-07,14
A004,Solar Echo,Store D,Stream,8.99,2025-02-28,105
A005,Wild Waves,Store A,CD,15.49,2025-01-18,38
A005,Wild Waves,Store B,Vinyl,22.49,2025-03-12,10
A005,Wild Waves,Store C,Stream,9.99,2025-02-05,95
A005,Wild Waves,Store D,CD,15.49,2025-01-30,25
A005,Wild Waves,Store A,Vinyl,22.49,2025-03-15,8
x,Forgotten Trails,Store A,Stream,9.25,2025-02-08,88
A006,Forgotten Trails,Store B,CD,12.75,2025-02-20,30
A006,0996,Store C,Vinyl,19.75,2025-03-03,13
A006,Forgotten Trails,Store D,Stream,9.25,2025-02-22,99
A007,Neon Skies,Store A,CD,14.99,2025-01-10,36
A007,Neon Skies,Store B,Vinyl,23.99,2025-02-27,9
A007,Neon Skies,Store C,Stream,10.49,2025-01-23,101
